school,state,subject,course_level,time,location,group_type
Pikes Peak Community College at Peterson Air Force Base Military Programs,Oklahoma,Business Communications,600,2022-10-31,"[38.8212278, -104.7141792]",Group
Western Barber Institute,Arizona,Interior Design,700,2021-12-30,"[34.2008189, -118.53500279999999]",Partner
AAC at Mobile,New Mexico,Biotechnology,700,2022-10-29,"[30.646938899999995, -88.0670955]",Partner
William T. McFatter Technical College,Wyoming,Industrial Management ,600,2022-07-30,"[26.087350100000002, -80.24298979999998]",Group
University of Maine at Augusta at University of Maine at Fort Kent ITV Receive,Florida,"Hispanic-American, Puerto Rican, and Chicano Studies",500,2021-10-27,"[47.2503875, -68.5893628]",Group
Florida State College at Jacksonville - Nassau Center,New Jersey,Biochemistry ,200,2022-12-30,"[30.61091859999999, -81.6199345]",Partner
Aurora University at Sycamore High School,Illinois,Sculpture ,500,2022-10-29,"[41.98419610000001, -88.701089]",Group
"Clinton School of Public Service, River Market/Arcade",Utah,Mineral Engineering ,700,2022-10-30,"[34.7473326, -92.2666064]",Group
Johns Hopkins University at Thomas S. Wootton High School,Alaska,Medieval and Renaissance Studies ,800,2021-07-29,"[39.0768275, -77.183204]",Group
Eastern Nazarene College at Early Learning Childcare,Ohio,Chinese ,600,2021-08-28,"[41.639677299999995, -70.9371073]",Group
University of Phoenix at California Children's Services - San Bernardino,Connecticut,Cinematography and Film/Video Production,700,2022-11-29,"[34.0851852, -117.29732759999999]",Group
Atlanta Center,Montana,Home Economics,400,2021-07-31,"[33.82308270000001, -84.3677513]",Group
George Washington University at Hampton Roads Center,New York,Ancient Studies ,500,2022-11-28,"[37.1043975, -76.479579]",Group
Fort Lee Center,District  of Columbia,Chiropractic,600,2022-11-28,"[37.2250175, -77.34658909999999]",Partner
Hawaii Pacific University - Schofield Barracks,Tennessee,Statistics ,700,2022-10-28,"[21.487653299999998, -158.0689437]",Partner
Graduate Center,Colorado,Art Education ,700,2022-11-30,"[39.7412872, -75.5492573]",Partner
Baker University at Stoney Creek,Pennsylvania,Aquaculture,600,2022-10-29,"[39.7789143, -94.7959433]",Partner
Glendale Community College,Ohio,American History,700,2022-11-30,"[34.168412599999996, -118.22907260000001]",Partner
Governors State University at Grimes/Fleming Elementary School,Colorado,Dance ,300,2021-10-30,"[41.7756568, -87.7583815]",Group
Louisiana Technical College - Jefferson Campus,Michigan,Welding Engineering ,400,2022-08-31,"[29.9742798, -90.1890143]",Group
Dine College at Tuba City Site,Wisconsin,Entrepreneurship ,800,2022-10-27,"[36.1319509, -111.23371110000001]",Partner
Pima County Community College District - Northwest Campus,Arizona,Middle Eastern Studies,100,2022-10-28,"[32.343513800000004, -111.02723789999999]",Partner
University of Arizona - Pima Downtown,Utah,Latin American Studies ,400,2021-12-29,"[32.2372917, -110.9726446]",Partner
Alexandria,Kansas,Gay and Lesbian Studies,500,2021-07-30,"[38.802421, -77.0650381]",Group
Kaskaskia College at Salem Education Center,Massachusetts,American Literature,700,2021-09-29,"[38.6231172, -88.9492104]",Partner
Montezuma High School,Nebraska,Educational Psychology ,700,2021-07-31,"[41.5907921, -92.52558570000001]",Group
University of Saint Mary,Nebraska,English,200,2022-11-28,"[39.278411, -94.9060493]",Partner
Hamilton High School,Arizona,Gay and Lesbian Studies,700,2021-09-27,"[41.522286, -84.91995899999998]",Group
Bethesda University,Alabama,Art History,600,2021-11-28,"[33.842265399999995, -117.9411471]",Group
Macon State College,Kansas,Jewelry and Metalsmithing,600,2022-08-30,"[32.7962119, -83.6880257]",Group
"University of California, Riverside",Florida,Merchandising and Buying Operations,500,2021-10-29,"[33.97542429999999, -117.33159609999998]",Partner
Aurora University at Professional Development Alliance,Mississippi,Biochemistry ,600,2021-09-29,"[41.5152439, -88.1482759]",Partner
ITT Technical Institute - West Chester,Idaho,French,800,2021-07-28,"[39.162211, -84.4498383]",Partner
University of Phoenix at Burlington Learning Center,Arizona,Psychology,400,2021-10-31,"[42.4821939, -71.1967023]",Group
ITT Technical Institute - Wilmington,Minnesota,Aviation ,100,2021-10-30,"[42.587446, -71.15805929999998]",Group
Western International University at Chaparral Suites Hotel,Texas,Pastoral Studies,300,2021-10-27,"[33.509904600000006, -111.9250211]",Partner
Illinois State University at Lincoln Magnet School,Tennessee,Metallurgical Engineering ,300,2022-08-29,"[39.7987379, -89.64009519999998]",Partner
University of Phoenix at Rady Children's Hospital,Oklahoma,Historic Preservation ,100,2022-08-28,"[32.7977575, -117.151407]",Partner
Stamford Health System,New Jersey,Pre-Medicine ,500,2022-08-29,"[41.054953600000005, -73.55237389999998]",Group
Albertus Magnus College at Hartford Learning Center,Nevada,Physician Assistant,200,2021-10-29,"[41.7633566, -72.6568317]",Partner
ITT Technical Institute - San Dimas,Washington,Ceramics ,300,2022-10-31,"[34.1023427, -117.81850379999999]",Partner
Strayer University at Teays Valley Business Park,Virginia,Pastoral Studies,400,2021-11-27,"[38.4539048, -81.9277997]",Group
Notre Dame of Maryland University at Montgomery College Takoma Park Campus,Georgia,German ,500,2021-12-29,"[38.98517349999999, -77.02154209999998]",Group
"Central Baptist Theological Seminary - Ann Arbor, MI location (at First Unitarian Universalist Congregation of Ann Arbor)",Oregon,Biopsychology,700,2021-12-27,"[42.2270107, -83.7848843]",Group
University of Maine at Augusta at Foster Technical Center,Utah,Land Use Planning and Management,800,2021-10-31,"[44.6399252, -70.1299915]",Group
California Lutheran University - Woodland Hills Center,Tennessee,Illustration,600,2022-10-31,"[34.1781138, -118.5907888]",Group
Notre Dame of Maryland University at Union Memorial Hospital,Louisiana,Ceramics ,300,2021-10-30,"[39.3295973, -76.6143199]",Partner
ITT Technical Institute - Phoenix,California,Actuarial Science,300,2021-12-28,"[33.467561100000005, -112.2657459]",Partner
Governors State University at Metamora High School,Oregon,Portuguese ,500,2022-10-29,"[40.7956421, -89.36373999999998]",Partner
St. John Lutheran School,North Dakota,Webmaster and Web Management,600,2022-08-30,"[42.165953200000004, -88.2956792]",Group
Colorado Mountain College - Aspen,Alabama,International Relations,700,2022-12-31,"[39.2233977, -106.863887]",Group
UA College of Medicine - Phoenix and Partnership with ASU,Virginia,Agriculture,800,2021-09-27,"[33.4516342, -112.0668689]",Partner
Streamwood High School,Florida,Russian,600,2021-09-30,"[42.030530999999996, -88.197101]",Partner
West Central Technical College,Illinois,Animal Behavior and Ethology,600,2022-07-27,"[33.6909839, -85.18357490000001]",Group
Bridgewater State University -Stoughton High School,Texas,Automotive Engineering,500,2022-11-28,"[42.129969200000005, -71.10817990000001]",Group
University of San Francisco - Regional - Sacramento,Nebraska,Engineering Physics,500,2022-09-30,"[38.580290600000005, -121.50626909999998]",Group
Wichita State University West (WSU West),Maryland,Molecular Biology,400,2022-10-31,"[37.7529633, -97.459857]",Partner
University of North Florida,Wisconsin,Marketing,800,2022-10-28,"[30.2729275, -81.50927890000001]",Group
Colorado Northwestern Community College,Hawaii,Drawing,200,2021-07-29,"[40.0801088, -108.78877659999998]",Partner
Indiana Wesleyan University at Red Rock Inn,Indiana,Classics,500,2021-10-31,"[41.364264, -86.31139]",Partner
Kirkwood Community College at Kirkwood Regional Center-Washington Center,Arkansas,Rehabilitation Services,800,2021-07-29,"[41.30986, -91.7181202]",Group
Southern Illinois University Carbondale at Scott Air Force Base,North Dakota,Range Science and Management,700,2022-11-27,"[38.539527, -89.87047790000001]",Group
Ivy Tech Community College of Indiana at Oak Hill High School,Texas,Mathematics,300,2021-10-31,"[40.5796477, -85.8208108]",Partner
Fort Lewis College at Navajo Program,Connecticut,Atmospheric Science,500,2021-12-31,"[36.7730938, -108.70000320000001]",Partner
"Greenville College at Lake Land College, Mattoon Campus",North Dakota,Southeast Asia Studies ,500,2021-10-31,"[39.4168843, -88.380659]",Partner
Sunrise Mountain High School,Iowa,Business Education,500,2021-12-31,"[33.676815500000004, -112.24045079999999]",Group
Laurel Campus South,Illinois,Marine Science,800,2021-12-28,"[37.1023598, -84.0746313]",Partner
University of Phoenix at East El Paso Campus 3,North Dakota,Chemistry,700,2021-08-27,"[31.728893900000003, -106.31028049999999]",Partner
Benedictine University at Paradise Valley Community College,New Mexico,Speech Pathology ,300,2022-07-27,"[33.65137070000001, -112.01098200000001]",Partner
Eastern Illinois University at Danville Area Community College,Louisiana,Applied Mathematics ,200,2021-08-28,"[40.131782, -87.59114650000002]",Partner
Indiana Wesleyan University at Center for Workforce Development,Washington,Experimental Pathology,300,2021-09-29,"[39.3451339, -87.3913276]",Group
Hair Professionals Career College Inc,New York,Pre-Medicine ,100,2022-12-29,"[41.9623025, -88.7181561]",Partner
Indiana University East at Madison Program,Alaska,Photography,500,2021-10-27,"[38.78036779999999, -85.3761897]",Partner
National Louis University at Elk Grove Junior High,Massachusetts,Biblical Studies,800,2022-08-31,"[42.0072939, -87.9905855]",Group
Northern Illinois University at Joliet Professional Development Alliance,Maine,Social Work ,200,2022-11-28,"[41.5152439, -88.1482759]",Group
New Orleans Baptist Theological Seminary,Illinois,Sport and Leisure Studies ,400,2022-08-29,"[30.004576399999998, -90.04125839999998]",Partner
Saint Xavier University at Lake Villa Reading,Connecticut,Sculpture ,800,2022-09-27,"[42.404415500000006, -88.09518979999999]",Partner
Azusa Pacific University - Orange County Regional Campus,Massachusetts,Artificial Intelligence and Robotics,100,2022-11-28,"[33.79633080000001, -117.87318970000001]",Partner
University of San Diego,Connecticut,Paleontology,200,2021-09-27,"[32.7716583, -117.1915679]",Partner
"J. F. Ingram State Technical College, Tutwiler Instructional Service Center",Oklahoma,Ocean Engineering ,600,2021-10-30,"[32.5647898, -86.1952965]",Group
Ambassador-Enterprises,Pennsylvania,Finance,600,2022-11-28,"[41.1817006, -85.1051825]",Group
Aurora University at Grass Lake Elementary School,District  of Columbia,Applied Mathematics ,400,2022-12-27,"[42.4399848, -88.13897519999998]",Group
Lawrence High School,New York,Zoology,700,2021-07-28,"[38.948913, -95.24271]",Partner
HCA Continental Division Education and Simulation Center,Kentucky,Urban Studies,400,2022-12-28,"[39.653568, -104.9923853]",Group
University of Redlands - Cal Tech Pasadena,New Hampshire,Land Use Planning and Management,100,2022-10-27,"[34.1372414, -118.12381620000001]",Partner
National Louis University - Lisle Campus,Idaho,Zoology,500,2021-07-29,"[41.8083506, -88.08540219999998]",Partner
Benedictine University at Robeson High School,Missouri,Education of the Deaf ,800,2022-09-28,"[41.770144200000004, -87.63606670000001]",Group
National Louis University at Children's Memorial Hospital,Rhode Island,Voice ,700,2021-12-31,"[41.92334959999999, -87.64832340000001]",Group
University of Maine at Augusta at Mt. View High School,Wyoming,History,200,2021-12-31,"[44.551144799999996, -69.27009890000001]",Partner
Alliant International University - San Francisco Law School,Washington,Education Administration,100,2021-08-28,"[37.7733347, -122.4227909]",Group
Pat Wilsons Beauty College,New Mexico,Webmaster and Web Management,300,2022-11-29,"[37.842749700000006, -87.59012940000002]",Group
Phoenix Campus (4025),Kansas,Athletic Training,500,2022-12-27,"[33.412578700000005, -112.0140094]",Partner
Ivy Tech Community College of Indiana at Blackford High School,Pennsylvania,Floriculture,100,2021-11-29,"[40.484610100000005, -85.3765729]",Group
Indiana Wesleyan University at Valle Vista,New Hampshire,Sculpture ,500,2021-08-30,"[39.6098285, -86.09032090000001]",Partner
Notre Dame de Namur University - Mission College,West Virginia,Agricultural Economics,600,2021-08-31,"[37.3912164, -121.98204609999999]",Group
Aurora University at Waukegan School District-Lincoln Center,Texas,Sculpture ,500,2021-09-29,"[42.3768209, -87.82956999999998]",Group
Polk State College,Connecticut,Tourism,800,2021-08-31,"[28.032421799999998, -81.7145536]",Partner
Indiana Wesleyan University at Good Samaritan Hospital - Vincennes,Maryland,Cinematography and Film/Video Production,200,2022-07-31,"[38.6727584, -87.53294009999998]",Group
Benedictine University at Mount Prospect Police Department,Missouri,Engineering Physics,500,2021-09-27,"[42.0630078, -87.934311]",Group
Woodstock,Oklahoma,Canadian Studies,800,2022-11-29,"[42.3401226, -88.48465949999998]",Partner
Grinnell College,Delaware,Sound Engineering,600,2022-08-28,"[41.746949900000004, -92.7230514]",Group
University of Miami,Arkansas,Italian,100,2022-12-31,"[25.721906399999998, -80.27801529999998]",Partner
Ivy Tech Community College of Indiana at Greensburg Community High School,South Carolina,Statistics ,500,2021-10-31,"[39.3428778, -85.4679725]",Partner
University of Phoenix at City of Tucson,Massachusetts,Spanish ,600,2021-12-28,"[32.2629522, -110.99366380000001]",Group
Eastern Illinois University at Lincoln Trail College,Kentucky,German ,100,2022-08-27,"[39.0054135, -87.7240903]",Partner
"Strayer University at Verizon Wireless, Wilmington NC",Vermont,Organizational Behavior Studies,500,2022-08-30,"[34.1993186, -77.90478879999998]",Partner
USD 259 Wichita West High School,Wyoming,Jewish Studies,700,2021-08-28,"[37.674745, -97.3490635]",Partner
Full Sail University,Colorado,Portuguese ,800,2022-12-28,"[28.5965321, -81.30134240000001]",Group
Northern Arizona University at Phoenix,Massachusetts,Chemical Physics,800,2022-07-29,"[33.481493900000004, -112.0906723]",Partner
Saint Xavier University at Rock Island,Kentucky,Agricultural Economics,100,2021-09-30,"[41.505138099999996, -90.5472032]",Partner
Metropolitan State University of Denver at Arapahoe Community College,Indiana,Music Education,800,2022-11-28,"[39.608316200000004, -105.0190322]",Partner
Thornton Fractional Center for Academics and Technology,New York,Air Traffic Control,700,2021-08-28,"[41.58561359999999, -87.528966]",Partner
University of Phoenix at Marine Corps Air Station - Yuma Education Building,Wisconsin,Civil Engineering,700,2022-08-30,"[32.6576368, -114.5839789]",Partner
Crowley's Ridge Technical Institute,Utah,East Asian Studies ,600,2022-08-29,"[35.0403033, -90.76760740000002]",Partner
Armstrong State University,Wyoming,Pastoral Studies,600,2022-11-30,"[31.9781582, -81.16320479999999]",Group
First Coast Technical College,Virginia,Aerospace Engineering,700,2022-11-29,"[29.9243083, -81.34574070000001]",Partner
National Louis University - Elgin Campus,Alaska,Geological Engineering ,500,2021-09-28,"[42.006076, -88.33306499999998]",Group
Southeastern University School of Divinity at Bayside Community Church,Florida,Journalism,400,2022-09-30,"[27.4729149, -82.38205470000003]",Group
Arkansas State University Mid-South,Iowa,Physical Therapy,300,2022-12-30,"[35.1456656, -90.2238067]",Group
Glasgow Regional Center,Kansas,Animal Behavior and Ethology,100,2022-08-31,"[36.9774606, -85.91662170000001]",Partner
International Business College - Indianapolis,Georgia,Home Economics,700,2022-12-30,"[39.8854995, -86.04166099999998]",Partner
University of Saint Joseph at Grace Academy,Nebraska,Pre-Optometry,800,2021-11-28,"[41.759665999999996, -72.6756312]",Group
University of St. Francis at JFK Elementary School,Oregon,Religious Studies,400,2022-11-27,"[41.3316856, -89.2068741]",Group
Saint Xavier University at Lake Geneva,Virginia,Molecular Biology,600,2021-10-28,"[42.545964399999995, -88.36779090000002]",Partner
Judson A. Samuels South Campus,North Carolina,Botany/Plant Biology,500,2022-08-27,"[26.0099134, -80.21270460000002]",Partner
Fort Hays State University at Maize,Kansas,Aquatic Biology,600,2021-09-30,"[37.7698104, -97.4766811]",Partner
Casa Loma College - Hawthorne,Louisiana,Native American Studies,600,2021-11-27,"[33.92377010000001, -118.3261301]",Group
National Louis University at Case HS,Kansas,Middle Eastern Studies,200,2022-12-27,"[42.7164, -87.8714136]",Group
Sunny Hill School-Carpentersville,New Hampshire,Biochemistry ,700,2022-09-30,"[42.132957299999994, -88.25151799999998]",Group
Governors State University at Washington-McKinley School,Minnesota,Pastoral Studies,400,2021-12-28,"[41.5015835, -87.6418005]",Group
University of New Haven at Saybrook Point Inn & Spa,Colorado,Horticulture,300,2021-09-27,"[41.283524799999995, -72.3505832]",Partner
Indiana Wesleyan University at Best Western Raintree Inn,Maine,Sculpture ,300,2022-10-28,"[39.888956, -85.38443050000001]",Partner
University of New England - Portland Campus,Alaska,Industrial Management ,300,2022-07-30,"[43.6827076, -70.29581470000001]",Partner
University of Arkansas Community College-Batesville,Arizona,Jazz Studies,500,2021-08-31,"[35.793335299999995, -91.61476850000001]",Group
Olivet Nazarene University at Goodings Grove Elementary,Montana,Plant Pathology,800,2021-08-27,"[41.6300487, -87.93392610000002]",Partner
UNH- Blackbird/Nashville,Iowa,Native American Studies,600,2021-12-27,"[36.116038, -86.76731500000002]",Partner
Olivet Nazarene University at Intercontinental Hotel,Utah,Pharmacy ,800,2022-10-30,"[41.9740555, -87.86372209999998]",Partner
University of Northern Iowa at Vermeer Pavilion,North Dakota,Marketing,600,2021-07-29,"[41.4081801, -92.872091]",Partner
Middlesex Community College at Vinal Technical H.S.,Michigan,Pharmacy ,100,2021-08-28,"[41.5278795, -72.6751501]",Group
Marinello School of Beauty - Hemet,Oregon,Urban Studies,500,2021-11-28,"[33.7459766, -116.9997696]",Group
Pacific School of Religion,Oklahoma,Dance ,100,2022-09-28,"[37.876146399999996, -122.26330619999999]",Partner
DePaul University at NorthShore University Health System School of Nurse Anesthe,Rhode Island,Wildlife Management ,500,2021-09-27,"[42.0655434, -87.68437279999998]",Group
Johns Hopkins University at Northrop Grumman Corp. - Rolling Meadows,Arizona,Slavic Languages and Literatures ,700,2022-12-29,"[42.1003265, -88.0332517]",Group
Trinidad State Junior College at Rocky Mountain Lineman Program,Indiana,Range Science and Management,300,2021-12-27,"[38.8126597, -104.80195959999999]",Partner
University of Phoenix at Kaiser Permanente Sand Canyon Medical Offices,North Carolina,Physical Therapy,300,2022-12-30,"[33.65738839999999, -117.77368799999999]",Partner
Trinity International University at Eastbrook Church,Arkansas,German ,800,2022-07-29,"[43.1142785, -87.9341121]",Group
University of Iowa at Quad Cities Graduate Study Center,Alaska,Social Psychology ,400,2022-09-30,"[41.5030042, -90.5513921]",Group
Ottawa University at Phoenix College,Colorado,Printmaking ,400,2021-11-28,"[33.481493900000004, -112.0906723]",Partner
Med-Assist School of Hawaii,New Hampshire,Music Education,800,2021-07-31,"[21.305613100000002, -157.8614782]",Group
Cambridge College -Springfield Regional Center,New Mexico,Animation and Special Effects,600,2021-12-28,"[42.1027686, -72.592123]",Group
Georgia College & State University,Oregon,Physical Education ,700,2022-11-27,"[33.082738899999995, -83.23187320000001]",Group
George Washington University at American Association for the Advancement of Science,Colorado,Classics,700,2022-11-28,"[38.900859000000004, -77.02821290000001]",Group
Indiana Wesleyan University at Hampton Inn Northwest,California,Digital Communications and Media/Multimedia,800,2021-07-31,"[39.882762299999996, -86.26605129999999]",Partner
Ivy Tech Community College of Indiana at New Castle Area Career Programs,Colorado,Hospitality,500,2022-09-27,"[39.91181029999999, -85.37788940000002]",Partner
McKendree University at Belleville St. Elizabeth's Hospital,Michigan,Teacher Education ,800,2022-12-30,"[38.5108609, -89.9891536]",Partner
Nutek Academy of Beauty Inc,Michigan,Architectural Engineering,400,2022-07-29,"[38.0756393, -83.95015440000002]",Partner
"Strayer University at Verizon Wireless, Atlanta",Texas,Modern Greek ,100,2022-08-29,"[33.9161057, -84.3372926]",Group
National Louis University at Sturgeon Bay High School,Mississippi,Counseling ,700,2021-07-27,"[44.835835100000004, -87.36292689999998]",Partner
University of St. Francis at Morainne Valley Community College,Connecticut,Portuguese ,400,2021-09-28,"[41.693264, -87.8388691]",Group
North Iowa Area Community College,California,Air Traffic Control,600,2021-09-29,"[43.158468, -93.1317039]",Group
Millikin University at PACE/Mattoon,Michigan,Experimental Psychology ,700,2022-12-31,"[39.4811542, -88.3721138]",Group
Aurora University,Idaho,Educational Psychology ,600,2021-11-30,"[41.7549208, -88.3476948]",Group
Cameo Beauty Academy,Indiana,Theatre,200,2021-11-29,"[41.7159275, -87.74092259999998]",Partner
National Louis University at Prairieview School,New Mexico,Artificial Intelligence and Robotics,100,2022-09-29,"[42.34297249999999, -88.0645753]",Partner
Notre Dame de Namur University - Mission College,New Mexico,Criminology,700,2021-11-30,"[37.3912164, -121.98204609999999]",Partner
Olivet Nazarene University at Heritage Middle School,Nevada,International Agriculture,500,2021-08-29,"[41.835493, -87.795699]",Group
Indiana Wesleyan University at Hotel Ivy,Vermont,Dental Hygiene,700,2021-11-28,"[39.01102059999999, -84.63209300000001]",Partner
Wellness Massage Therapy Institute,Alaska,Sport and Leisure Studies ,500,2022-12-27,"[41.6956651, -88.00913270000001]",Group
Grand Canyon University at St. Joseph Hospital,New Hampshire,Business Communications,700,2021-09-30,"[33.4821999, -112.08040459999998]",Group
University of Phoenix at Lynnwood Learning Center,Iowa,Agricultural Education,300,2021-12-27,"[47.8108112, -122.2957762]",Group
University of Redlands - Temecula,Vermont,Architectural History,100,2021-08-28,"[33.4952966, -117.15887590000001]",Partner
Southern Illinois University Edwardsville,Montana,Music Therapy,100,2022-10-28,"[38.7928034, -89.9953376]",Partner
Newnan Center,Maryland,Biology,200,2022-11-30,"[33.3647532, -84.7831193]",Partner
John Hersey High School District 214,Kentucky,English Composition ,700,2021-08-29,"[42.1038234, -87.95905649999999]",Partner
Homewood Suites by Hilton Columbus,Montana,Slavic Languages and Literatures ,800,2022-07-28,"[32.549045299999996, -84.9344101]",Partner
University of Phoenix at Torrance Police Department,Massachusetts,Construction Management,300,2022-07-29,"[33.8398625, -118.34232820000001]",Group
Strayer University - Aurora Campus,Maine,Industrial Engineering ,200,2021-07-30,"[41.794216799999994, -88.36559140000001]",Group
Indiana Wesleyan University at Kendrick Memorial Hospital,Arkansas,Forensic Science,400,2022-08-31,"[39.6076612, -86.35565550000001]",Group
University of Redlands - Torrance,Maryland,Geology,800,2022-07-30,"[33.856380200000004, -118.29135120000001]",Partner
South Shores Elementary School,Hawaii,English Composition ,700,2022-12-27,"[39.8105015, -88.95148619999998]",Group
Heat & Frost Insulators,Arkansas,Organizational Behavior Studies,800,2021-11-28,"[33.4500864, -112.0253273]",Partner
Saint Anthony College of Nursing at Highland Community College,North Carolina,Musical Theater,400,2022-09-30,"[42.2831242, -89.67394990000001]",Partner
University of Phoenix at Hilton Cleveland South,West Virginia,Aerospace Engineering,800,2022-11-27,"[41.3933687, -81.65054769999998]",Partner
Pinnacle College,Alabama,Advertising,800,2022-10-29,"[34.0817562, -118.14957120000001]",Partner
Orlando Site,Iowa,Marine Biology,300,2021-12-31,"[28.5192658, -81.417101]",Partner
Chaparral High School,Oregon,Journalism,700,2022-09-29,"[37.15620940000001, -98.0391396]",Group
Carrington College - Portland,North Carolina,Gerontology ,500,2022-08-29,"[45.5321365, -122.6554426]",Group
"University of Arkansas, Fayetteville at Hurlburt Field (Air Force Installation)",Pennsylvania,Applied Mathematics ,600,2022-10-31,"[30.419661699999995, -86.69851390000001]",Partner
Morningside College at Dubuque Forum Area Education Agency,Missouri,Land Use Planning and Management,300,2021-09-28,"[42.511177, -90.7043696]",Partner
Allen County Community College,Idaho,Music Therapy,800,2021-12-29,"[37.938448, -95.399694]",Group
Arkansas Tech University at Center for Leadership and Learning,West Virginia,Oceanography,100,2022-09-29,"[35.3139234, -93.2150537]",Group
Indiana Wesleyan University at Holiday Inn Select,Michigan,American History,200,2021-10-27,"[39.7290615, -86.2687923]",Group
Gateway Community and Technical College - Highland Heights,Missouri,Film,600,2022-11-30,"[39.040985, -84.466719]",Group
Western Iowa Tech Community College,North Carolina,Epidemiology,800,2022-11-30,"[42.483325, -96.3483827]",Partner
Georgia Career Institute - Murfreesboro,Nevada,Architectural Engineering,200,2021-11-30,"[35.86820529999999, -86.3891637]",Partner
Cook County HS,New Mexico,Business Communications,400,2021-09-29,"[31.1331492, -83.38373969999998]",Group
George Washington University at Hanover High School,Massachusetts,Pre-Optometry,800,2021-10-31,"[37.688381, -77.38475540000002]",Group
Briar Cliff University at Sheldon,Florida,Museum Studies,600,2021-07-31,"[43.18473970000001, -95.8798233]",Group
Indiana Wesleyan University at Linton-Stockton High School,New York,Textile Engineering ,600,2022-11-27,"[39.0332784, -87.15640390000002]",Group
DePaul University - O'Hare Campus,Delaware,Chiropractic,100,2022-09-28,"[41.99642539999999, -87.8622302]",Group
Trinity International University at Christ Community Church,Oklahoma,Art Therapy,800,2022-08-30,"[38.872417299999995, -94.6139685]",Group
National University -  County of Santa Clara SJOF-16,Washington,Recording Arts Technology,100,2022-10-29,"[37.38039860000001, -121.9217997]",Partner
University of Phoenix at Hampton Inn & Suites - Fresno,Arizona,Advertising,200,2022-11-29,"[36.8384762, -119.7825533]",Partner
Concordia University Chicago at St. Peter Lutheran School,Pennsylvania,Chemical Physics,800,2022-12-29,"[41.5284688, -88.0880153]",Partner
Everest Institute - Atlanta Downtown,Georgia,Journalism,500,2022-09-29,"[33.7568359, -84.3920664]",Partner
Academy of Art University - 540 Powell,Nevada,Public Administration ,800,2022-09-29,"[37.7898297, -122.4083666]",Partner
Ivy Tech Community College of Indiana at Lost River Career Cooperative,Texas,Entomology ,100,2021-10-31,"[38.548744799999994, -86.47765849999998]",Partner
Anderson University -Walker Information,Maine,Peace Studies,300,2021-08-31,"[39.9186217, -86.09906409999998]",Partner
Modern Beauty Academy,Wisconsin,Technical  Writing ,400,2021-07-27,"[34.19529929999999, -119.18142279999999]",Group
ITT Technical Institute - Jacksonville,Delaware,Government,200,2022-11-28,"[30.248978700000002, -81.5813833]",Group
University of Phoenix at Embassy Suites Palmdale,Ohio,African-American Studies ,600,2022-12-29,"[34.5975238, -118.1407033]",Group
University of Maine at Augusta at Caribou Learning Center,Maryland,Chinese ,800,2021-08-28,"[46.865307, -68.003388]",Group
Mount Vernon Campus,Oregon,Ancient Studies ,500,2021-12-27,"[38.917416100000004, -77.08983599999998]",Group
Saint Xavier University at Peoria,Arizona,Home Economics,300,2021-09-27,"[40.7533069, -89.615085]",Group
Keiser University - Pembroke Pines,Ohio,Creative Writing,300,2022-12-31,"[26.0058245, -80.31517389999998]",Group
Butler University,Ohio,Historic Preservation ,800,2022-11-29,"[39.8381669, -86.1705391]",Group
Marquardt School District,West Virginia,American Literature,400,2022-09-27,"[41.9277929, -88.06373520000001]",Group
University of Phoenix at Fairfield Inn Mission Viejo,Delaware,Entrepreneurship ,800,2021-12-29,"[33.5790614, -117.6704906]",Group
Johns Hopkins University at George Fox Middle School,Oklahoma,International Agriculture,100,2022-09-29,"[39.1319027, -76.5485522]",Group
Upper Iowa University at Wausau: NTC - Antigo,Texas,Public Relations,600,2021-12-27,"[45.12843669999999, -89.1361956]",Partner
Indiana Wesleyan University at Signature Inn,New Hampshire,Criminal Science,200,2022-11-30,"[40.4185417, -86.82322839999998]",Partner
John F Kennedy University - Berkeley Campus,District  of Columbia,Pre-Veterinary Medicine,200,2022-10-30,"[37.853163, -122.28771840000002]",Group
McKendree University at Olney Central College,California,Neuroscience ,500,2021-07-29,"[38.736160999999996, -88.0991714]",Group
Colorado Technical University at Pueblo Campus,Missouri,Russian,700,2022-09-29,"[38.271507299999996, -104.6213563]",Partner
Indiana Wesleyan University at Dearborn County Hospital,North Carolina,Bioethics,300,2022-08-27,"[39.111381, -84.88342779999998]",Partner
Professional Institute of Beauty,Virginia,Ceramic Engineering ,300,2021-08-27,"[34.075635600000005, -118.03896370000001]",Partner
National Louis University at Creekside Middle School,New Hampshire,Voice ,100,2022-08-28,"[42.2785026, -88.44393749999998]",Group
University of Hartford at Newington Prosthetics and Orthotics,Hawaii,Southeast Asia Studies ,200,2022-07-27,"[41.6977216, -72.7171808]",Partner
University of St. Francis at Elk Grove High School,Arizona,Jewelry and Metalsmithing,700,2021-10-27,"[42.0109726, -87.9974699]",Partner
Eastern Iowa Community College District at Muscantine Community College Outreach,North Dakota,Industrial Psychology ,600,2022-07-30,"[41.2691281, -91.3670387]",Group
Lewis University at Westlake Hospital,Georgia,Criminal Science,300,2022-09-29,"[41.8929096, -87.848568]",Partner
Lewis University at Advocate Christ Medical Center,Missouri,Environmental Science,600,2021-09-29,"[41.721808, -87.73261819999998]",Partner
West Aurora High School,Wisconsin,Photojournalism,100,2022-08-27,"[41.764289700000006, -88.34403739999998]",Partner
Graceland University at Grant Wood Area Educational Agency,Texas,Public Relations,600,2022-08-30,"[41.9352191, -91.6750062]",Group
